,Run 800 Meters; 40 sdhp 24/16 KB?s; 40 Walking Lunges with Kettlebells 24/16; 40 knees to elbows; Run 800 Meters
1174,"WORKOUT 13.5; MEN - includes Masters Men up to 54 years old; Complete as many rounds and reps as possible in 4 minutes of:; 100 pound Thruster, 15 reps; 15 Chest to bar Pull-ups; If 90 reps (3 rounds) are completed in under 4 minutes, time extends to 8 minutes.; If 180 reps (6 rounds) are completed in under 8 minutes, time extends to 12 minutes.; If 270 reps (9 rounds) are completed in under 12 minutes, time extends to 16 minutes.; Etc.; WOMEN - includes Masters Women up to 54 years old; Complete as many rounds and reps as possible in 4 minutes of:; 65 pound Thruster, 15 reps; 15 Chest to bar Pull-ups; If 90 reps (3 rounds) are completed in under 4 minutes, time extends to 8 minutes.; If 180 reps (6 rounds) are completed in under 8 minutes, time extends to 12 minutes.; If 270 reps (9 rounds) are completed in under 12 minutes, time extends to 16 minutes.; Etc."
1175,"WORKOUT 14.2; Every 3 minutes for as long as possible complete:; From 0:00-3:00; 2 rounds of:; 10 overhead squats; 10 chest-to-bar pull-ups; From 3:00-6:00; 2 rounds of:; 12 overhead squats; 12 chest-to-bar pull-ups; From 6:00-9:00; 2 rounds of:; 14 overhead squats; 14 chest-to-bar pull-ups; Etc., following same pattern until you fail to complete both rounds; MEN - includes Masters Men up to 54 years old; 95-lb. overhead squats; Chest-to-bar pull-ups; WOMEN - includes Masters Women up to 54 years old; 65-lb. overhead squats; Chest-to-bar pull-ups"
1176,"WORKOUT 14.3; MEN - includes Masters Men up to 54 years old; Complete as many reps as possible in 8 minutes of:; 135-lb. deadlifts, 10 reps; 15 box jumps, 24-inch; 185-lb. deadlifts, 15 reps; 15 box jumps, 24-inch; 225-lb. deadlifts, 20 reps; 15 box jumps, 24-inch; 275-lb. deadlifts, 25 reps; 15 box jumps, 24-inch; 315-lb. deadlifts, 30 reps; 15 box jumps, 24-inch; 365-lb. deadlifts, 35 reps; 15 box jumps, 24-inch; WOMEN - includes Masters Women up to 54 years old; Complete as many reps as possible in 8 minutes of:; 95-lb. deadlifts, 10 reps; 15 box jumps, 20-inch; 135-lb. deadlifts, 15 reps; 15 box jumps, 20-inch; 155-lb. deadlifts, 20 reps; 15 box jumps, 20-inch; 185-lb. deadlifts, 25 reps; 15 box jumps, 20-inch; 205-lb. deadlifts, 30 reps; 15 box jumps, 20-inch; 225-lb. deadlifts, 35 reps; 15 box jumps, 20-inch"
1177,WORKOUT 16.3; Complete as many rounds and reps as possible in 7 minutes of:; 10 power snatches; 3 bar muscle-ups; Men use 75 lb.; Women use 55 lb.
1178,WORKOUT 16.5; 21-18-15-12-9-6-3 reps for time of:; Thrusters; Burpees; Men use 95 lb.; Women use 65 lb.
1179,Run 1/2 mile 50 air squats ? 3 rounds
1180,"Walk 100 meters on your hands, even if it is 2 meters at a time.; 10-9-8-7-6-5-4-3-2-1 sets of sit-ups and a 100 meter sprint between each set."
1181,Handstand 30 seconds and; 10 squats ?; 8 rounds.
1182,"10 Walking lunges, 10 push-ups ? 10 rounds."
1183,"7 squats, 7 burpees ? 7 rounds."
1184,"Burpee to the push up position, do 10 push ups, burpee out ? 5 rounds."
1185,250 Jumping jacks.
1186,"Diane; Deadlift 225 lbs; Handstand push-ups; 21-15-9 reps, for time"
1187,"Elizabeth; Clean 135 lbs; Ring Dips; 21-15-9 reps, for time"
1188,Mary; 5 Handstand push-ups; 10 1-legged squats; 15 Pull-ups; As many rounds as possible in 20 min
1189,"Kelly; Run 400 meters; 30 box jump, 24 inch box; 30 Wall ball shots, 20 pound ball; Five rounds for time"
1190,Nicole; Run 400 meters; Max rep Pull-ups; As many rounds as possible in 20 minutes.; Note number of pull-ups completed for each round.
1191,AMRAP in 20 minutes:; -10 Burpees; -15 Squats; -20 Knees-to-chin (laying down)
1192,20 rounds for time; ? 5 push-ups; ? 5 squats; ? 5 sit ups
1193,Run 1 mile and do 10 push-ups every 1 minute.
1194,"Handstand practice, 25 tries at free handstands, then a 1 mile run"
1195,100 Push-ups for Time
1196,5 Rounds for Time; ? 10 vertical jumps; ? run 400m
1197,10 Rounds for Time; ? 10 Push-ups; ? 100m Sprint
1198,4 Rounds for Time; ? Run 400m; ? 50 squats
1199,AMRAP in 10 minutes; ? 3 Burpees; ? 4 pushups; ? 5 squats
1200,4 rounds for time; ? 1/2 mile run; ? 50 squats
1201,20 Rounds for Time; ? 5 squats; ? 5 push-ups; ? 5 sit ups
1202,"10 Rounds; ? Handstand hold, 30 seconds,; ? Squat hold 30 seconds"
1203,4 Rounds for Time; ? 20 sit ups; ? 20 push-ups; ? 400m Run
1204,3 Rounds for Time; ? Run 200m; ? 50 squats
1205,"Tabata Tuck jumps and Sit-ups:; 20 seconds on 10 seconds rest, 8 rounds each.; Count your lowest score."
1206,10-9-8-7-6-5-4-3-2-1 Rep Rounds for Time; ? Burpees; ? Pushups; ? Situps
1207,2 Rounds for Time; ? 20 Double-Unders; ? 30 Walking Lunges; ? 40 Push-ups; ? 30 Squats; ? 20 Sit Ups; ? 10 Box Burpees
1208,For Time; ? 50 Walking Lunges (each leg); ? 800 M run; ? 50 Walking Lunges
1209,Crouching Tiger; For Time:; 50 Air Squats; 25 Push-ups; 50 Pistols; 25 Fingertip Push-ups; 50 Side Lunges; 25 Knuckle Push-ups; 50 Walking Lunges; 25 Diamond Push-ups
1210,Hero WOD: AdamBrown; WOD Type: For Time; 2 Rounds; 24 reps of deadlifts (295 pounds); 24 box jumps (24 inch box); 24 wall-ball shots (20 pound ball); 24 bench presses (195 pounds); 24 box jumps (24 inch box); 24 wall-ball shots (20 pound ball); 24 cleans (145 pounds)
1211,Hero WOD: Adrian; WOD Type: For Time; 7 Rounds; 3 forward rolls; 5 wall climbs; 7 toes to bar; 9 box jumps (30 inch box)
1212,Hero WOD: Barraza; WOD Type: AMRAP; 18 minutes; Run 200 meters; 9 reps of deadlifts (275 pounds); 6 burpee bar muscle-ups
1213,Hero WOD: Bell; WOD Type: For Time; 3 rounds; 21 deadlifts (185 pounds); 15 pull-ups; 9 front squats (185 pounds)
1214,Hero WOD: Big Sexy; WOD Type: For Time; 5 rounds; 6 deadlifts (315 pounds); 6 burpees; 5 cleans (225 pounds); 5 chest-to-bar pull-ups; 4 thrusters (155 pounds); 4 muscle-ups
1215,"Hero WOD: Bowen; WOD Type: For Time; 3 rounds; Run 800 meters; 7 deadlifts (275 pounds); 10 burpee pull-ups; 14 single arm kettlebell thrusters, 14 reps (7 each arm) (53 pounds); 20 box jumps (24 inch box)"
1216,Hero WOD: Bradley; WOD Type: For Time; 10 rounds; Sprint 100 meters; 10 Pull-ups; Sprint 100 meters; 10 Burpees; Rest 30 seconds
1217,Hero WOD: Bradshaw; WOD Type: For Time; 10 rounds; 3 handstand push-ups; 6 deadlifts (225 pounds); 12 Pull-ups; 24 Double-unders
1218,Hero WOD: Brehm; WOD Type: For Time; 10 15 foot rope climbs; 20 Back squat (225 pounds); 30 handstand push-ups; Row 40 calories
1219,Hero WOD: Bruck; WOD Type: For Time; 4 rounds; Run 400 meters; 24 back squats (185 pounds); 24 jerks (135 pounds)
1220,Hero WOD: Clovis; WOD Type: For Time; Run 10 miles; 150 burpee pull-ups; Partition the run and burpee pull-ups as needed.
1221,Hero WOD: Crain; WOD Type: For Time; 2 rounds; 34 push-ups; 50-yard sprint; 34 deadlifts (135 pounds); 50-yard sprint; 34 box jumps (24-inch box); 50-yard sprint; 34 clean and jerks (95 pounds); 50-yard sprint; 34 burpees; 50-yard sprint; 34 wall-ball shots (20 pound ball); 50-yard sprint; 34 pull-ups; 50-yard sprint
1222,Hero WOD: Dae Han; WOD Type: For Time; 3 rounds; Run 800 meters with a 45-pound barbell; 3 15-foot rope climb; 12 thrusters (135 pounds)
1223,Hero WOD: Danny; WOD Type: AMRAP; 20 minutes; 30 box jump (24-inch box); 20 push presses (115 pounds); 30 pull-ups
1224,Hero WOD: DG; WOD Type: AMRAP; 10 minutes; 8 toes to bar; 8 thrusters (35 pound dumbbell); 12 dumbbell walking lunges (35 pounds)
1225,Hero WOD: Gator; WOD Type: For Time; 8 rounds; 5 front squats (185 pounds); 26 ring push-ups
1226,Hero WOD: Helton; WOD Type: For Time; 3 rounds; Run 800 meters; 30 dumbbell squat cleans (50 pounds); 30 burpees
1227,"Hero WOD: Jag 28; WOD Type: For Time; Run 800 meters; 28 kettlebell swings, 2 pood; 28 strict pull-ups; 28 kettlebell clean and jerk, 2 pood each; 28 strict pull-ups; Run 800 meters"
1228,Hero WOD: Jerry; WOD Type: For Time; Run 1 mile; Row 2K; Run 1 mile
1229,Hero WOD: Johnson; WOD Type: AMRAP; 20 minutes; 9 deadlifts (245 pounds); 8 muscle-ups; 9 squat cleans (155 pounds)
1230,"Hero WOD: Joshie; WOD Type: For Time; 3 rounds; 21 dumbbell snatches, right arm (40 pounds); 21 L-pull ups; 21 dumbbell snatches, left arm (40 pounds); 21 L-pull ups"
1231,Hero WOD: Ledesma; WOD Type: AMRAP; 20 minutes; 5 parallette handstand push-ups; 10 toes through rings; 15 medicine ball cleans (20 pounds)
1232,Hero WOD: Lee; WOD Type: For Time; 5 rounds; Run 400 meters; 1 deadlift (345 pounds); 3 squat cleans (185 pounds); 5 push jerks (185 pounds); 3 muscle-ups; 1 15-foot rope climb
1233,Hero WOD: Lumberjack 20; WOD Type: For Time; 20 deadlifts (275 pounds); Run 400 meters; 20 kettlebell swings (2 pood); Run 400 meters; 20 overhead squats (115 pounds); Run 400 meters; 20 burpees; Run 400 meters; 20 chest-to-bar pull-ups; Run 400 meters; 20 box jumps (24 inch box); Run 400 meters; 20 dumbbell squat cleans (45 pounds); Run 400 meters
1234,Hero WOD: Manion; WOD Type: For Time; 7 rounds; Run 400 meters; 29 back squats (135 pounds)
1235,"Hero WOD: Moon; WOD Type: For Time; 7 rounds; 10 dumbbell hang split snatches, right arm (40 pounds); 1 15-foot rope climb; 10 dumbbell hang split snatches, left arm (40 pounds); 1 15-foot rope climb"
1236,"Hero WOD: Ned; WOD Type: For Time; 7 rounds; 11 body-weight back squats; 1,000-meter row"
1237,"Hero WOD: Nutts; WOD Type: For Time; 10 handstand push-ups; 15 deadlifts (250 pounds); 25 box jumps (30 inch box); 50 pull-ups; 100 wallballs (20 pounds, 10 inch target); 200 double-unders; Run 400 meters with a 45 pound plate"
1238,Hero WOD: Omar; WOD Type: For Time; 10 thrusters (95 pounds); 15 bar-facing burpees; 20 thrusters (95 pounds); 25 bar-facing burpees; 30 thrusters (95 pounds); 35 bar-facing burpees
1239,Hero WOD: Pike; WOD Type: For Time; 5 rounds; 20 thrusters (75 pounds); 10 strict ring dips; 20 push-ups; 10 strict handstand push-ups; 50-meter bear crawl
1240,Hero WOD: Ricky; WOD Type: AMRAP; 20 minutes; 10 pull-ups; 5 dumbbell deadlift (75 pounds); 8 push-presses (135 pounds)
1241,Hero WOD: Riley; WOD Type: For Time; Run 1.5 miles; 150 burpees; Run 1.5 miles
1242,"Hero WOD: Sisson; WOD Type: 20 minutes; 1 15 foot rope climb; 5 burpees; 200-meter run; If you?ve got a 20-pound vest or body armor, wear it."
1243,Hero WOD: Stephen; WOD Type: 30-25-20-15-10-5; GHD sit-ups; Back extensions; Knees to elbow; Stiff legged deadlifts (95 pounds)
1244,"Hero WOD: Strange; WOD Type: For Time; 8 rounds; 600 meter Run; 11 weighted pull-ups (1.5 pood); 11 walking lunges, carrying 1.5 pood kettlebells; 11 kettlebell thrusters (1.5 pood)"
1245,Hero WOD: TUP; WOD Type: For Time; 15-12-9-6-3; 135-pound power cleans; Pull-ups; 135-pound front squats; Pull-ups
1246,Hero WOD: Wilmot; WOD Type: For Time; 6 rounds; 50 squats; 25 ring dips
1247,Fat Karen (Time); For time:; 150 Wallballs (30/20)
1248,Metcon (Time); ? Heavy Isabel ?; 30 Snatches (185/115)
1249,Metcon (AMRAP ? Rounds and Reps); 14 min Amrap; 12 GHD?s; 10 KB Swings (2/1.5); 8 HSPU
1250,Metcon (Time); 2 rounds; 750m Row; 50 Wall Balls (30/20)
1251,3 Rounds; 30 Hang Cleans (95/65); 30 Front Squats (95/65); 30 Push Press (95/65)
1252,5 Rounds; 20 Hip Extensions; 15 Toes to Bar
1253,Metcon (AMRAP ? Reps); For Time:; 10 min AMRAP; 200 Double Unders; 30 Power Cleans (225/155); Max Cal. Row
1254,"Teams of 2:; 20-18-16-14-12-10-8-6-4-2; Bench Press (135/95); Deadlifts (225/155); * Partner 1 does 20 reps of each (Partner 2 will be spotting). Then Partner 2 will do 20 reps of each (Partner 1 will be spotting). Partner 1 will then go to 18, Etc. If done without a Partner then work to rest is 1:1. *"
1255,? Ben?s Birthday Workout ?; 22 min AMRAP; 10 Lunges (225/155); 8 Muscle Ups; 93 Double Unders
1256,For Time:; 30 Deadlifts (185/135); 30 Cal. Row; 30 OVHS (95/65)
1257,"Zeus (Time); 3 Rounds for time of:; 30 Wall-Ball Shots, 20#; 30 Sumo-Deadlift High Pulls, 75#; 30 Box Jumps, 20?; 30 Push Press, 75#; 30 Calorie Row; 30 Push-ups; 10 Bodyweight Squats; In honor of U.S. Army Specialist David E. Hickman, 23, of Greensboro, NC, died on November 14, 2011; To learn more about Zeus click here"
1258,Metcon (Time); For Time:; 21-15-9; Cal. Assault Bike; 42-30-18; Toes To Bar; * 8 min Time Cap *; Rest 2 mins; Metcon (Time); For Time:; 100 Wall Balls (30/20)
1259,Metcon (Time); For Time:; 50 Box Jumps (24/20); 40 Cal. Ski Erg; 30 Burpees
1260,Metcon (Time); 27-21-15-9; Front Rack Lunges (135/95); Assault Bike Calories
1261,Metcon (Time); For Time:; 27-21-15-9; Cal. Row; Power Snatch (95/65)
1262,Metcon (Time); 3 Rounds; 30 Wall Balls (30/20); 30 KB Swings (70/53); * 10 min Time Cap *; Rest 3 minutes; Metcon (Time); 3 Rounds; 30 Med Ball GHD?s (20/14); 30 Box Jumps (30/24); * 10 min Time Cap *
1263,Metcon (Time); For Time:; 20 Shoulder to Overhead (185/115); 40 Bar Facing Burpees
1264,"War Frank (Time); 3 Rounds for time of:; 25 Muscle-ups; 100 Air Squats; 35 GHD Sit-ups; In honor of Captain Warren A. Frank, 26, of Cincinnati, OH, died November 25, 2008 in Ninewa province, Iraq.; To learn more about War Frank click here; A huge THANK YOU to all those who have served and those who currently serve this country. We appreciate you more than you know!"
1265,2k Row (Time); Max Effort 2k Row
1266,Metcon (Time); 10 Rounds; 10 Cal. Assault Bike; 1 Legless Rope Climb (15ft)
1267,Metcon (Time); ? Dirty 30 ?; 30 Cal. Row; 30 Cal. Ski Erg; 30 Cal. Assault Bike
1268,"Lumberjack 20 (Time); 20 Deadlifts, 275#; Run 400m; 20 Kettlebell swings, 70#; Run 400m; 20 Overhead Squats, 115#; Run 400m; 20 Burpees; Run 400m; 20 Chest-To-Bar Pull-ups; Run 400m; 20 Box Jumps, 24?; Run 400m; 20 Dumbbell Squat Cleans, 45#; Run 400m; On Nov. 5 2009, a terrorist attacked fellow soldiers and civilians at Fort Hood, TX. Killing 12 soldiers and one civilian and wounded 43 others.; To learn more about Lumberjack 20 click here"
1269,Metcon (AMRAP ? Rounds and Reps); Happy Thanksgiving !!!!!; 20 min Amrap:; 11 Hang DB Squat Cleans (50/35); 26 Pull Ups; 15 GHD?s
1270,Metcon (Time); 6 Rounds; 15 DB Hang Squat Cleans; 400M Run
1271,Metcon (AMRAP ? Rounds); Every min (10 mins); 200m/175m row; ?REST 1 MIN?; Metcon (AMRAP ? Rounds); Every min (10 mins); 10/8 Burpee over rower; Metcon (No Measure); 50 Ring Rows (Not for Time); * Feet set on Bench or 24? box / Rings set where the top of the ring lines up with the hip crease.
1272,Metcon (Time); For Time:; 42-30-18; Wall Ball (20/14); Toes to Bar
1273,Metcon (Calories); 10 mins; Max Cal. Assault Bike; Squat Clean and Jerk (1 Rep Max)
1274,Olympic Lifting Total (Total Weight); Snatch; Clean & Jerk; * Take 10 mins at each lift to find a 1RM *; Add both weights together for your total.
1275,Metcon (AMRAP ? Rounds and Reps); 20 min Amrap; 15 Cal. Row; 15 GHD?s; 15 Hang Power Snatch (95/65)
1276,Metcon (AMRAP ? Rounds); Every 2 mins (20 mins); 10 Front Sqaut (135/95); 10 Bar Facing Burpees; * If you can not complete the round in 2 mins then the workout turns into an AMRAP with the remaining time *; Metcon (No Measure); Skill: (Not for Time); 5 rounds; 10 Strict Pull ups; 30 sec. Hollow Rock Hold
1277,Metcon (Time); 4 ROUNDS:; 400m Run; 30 Wallball Shots 20/14; 20 DB Slams 50/30
1278,Metcon (Distance); 7 rounds; 1 min Row; 1 min Rest; 1 min Ski Erg; 1 min Rest
1279,Metcon (Time); 25-20-15-10-5; Burpee Box Jump (30/24); Strict Hand Stand Push-ups; Metcon (Time); SKILL:; Accumulate 5:00 of holding an isometric pull-up. Focus on activation and maintaining a tight core.
1280,Metcon (Time); 1000m row; ? rest 2 mins ?; 8x250m row; ? rest 30 secs after each set ?; 1000m row; * scored by total time (minus the rest) *
1281,Metcon (Time); 100-80-60-40-20; DU?s; 50-40-30-20-10; Thrusters 45#
1282,Metcon (AMRAP ? Rounds and Reps); 20 Min AMRAP; 200m Row; 15 Wall Balls 30/20; 10 DL 225/155
1283,Metcon (Time); For Time:; 4 rounds:; 25 cal Row; 20 Lateral Burpees over Rower; 15 Toes to Bar; Metcon (No Measure); Not for time:; 5 rounds:; 10 Glute Ham Raises; :45 Handstand Hold
1284,5k Row (Time); Max Effort 5k Row; Clean and Jerk (1 Rep Max); 10 mins to establish a Max!
1285,Metcon (Time); 5 Rounds; 500 M Row; 40 Air Squats
1286,Metcon (Time); For Time:; 50 T2B; 50 Wall Balls (20/14); 50 Box Jump Overs (24/20); 50 DB Snatch (75/50)
1287,Metcon (Time); For Time:; 100 Double Unders; 50 Deadlifts (185/115); 30 Chest to Bar; * 15 min Time Cap *
1288,Metcon (AMRAP ? Rounds); 10 Rounds:; Every 3 MIN Perform:; 15/12 CAL ROW; 10 Box jumps (24/20); 8 T2B
1289,Metcon (Time); For Time:; 5000m Run; 5000m Row
1290,Metcon (Time); 4 RFT:; 400m Run; 30 WB 20/14; 15 DL 225/155
1291,Metcon (AMRAP ? Rounds and Reps); 8 min Amrap; 3-6-9-12-15 . . . .; OVHS (95/65); Chest to Bar; Metcon (No Measure); Skill Work: (Not for Time); 5 Rds; 20 GHD?s; 20 Hip Extensions
1292,Metcon (Time); 3 Rounds; 21 Hang Squat Cleans (135/95); 21 Strict HSPU
1293,"For Time:; ""Mean Fran""; 30-20-10:; Thrusters (75/55); Laying Down BB Rows (use both rigs, if more than 12 ppl in class do 50-40-30 as a team of 2"
1294,"EMOM, 7 minutes:; 1 Snatch - Start at 75%, and work up each minute to a heavy single in 7mins."
1295,"EMOM, 6 minutes:; 3BS @ 80%"
1296,"EMOM, 8 minutes:; 1 Clean - Start at 75% and work up to no higher than 90%; * Should be all makes"
1297,"EMOM, 10 minutes; Odd: 10 DB Snatch; (5L/5R); Even: 10 DB Thruster (5L/5R)"
1298,"EMOM, 10 minutes; 1 Clean and Jerk (begin at 60% and add weight each make)"
1299,For Time:; With a partner complete:; 200m Sled Pull (Avg BW on sled); 50 DL @ Avg bw on Bar; 200m Sled Pull; 25 DL
